Latitude,Longitude,CA,MG,Na,K,Cl,So4,HCo3,Co3,No3,RS
-12.7402777777778,-39.8475,1.40,1.15,4.80,2.10,15.00,0.20,14.00,0.00,0.00,42.70
-12.8625,-39.8569444444444,0.40,1.35,16.50,2.40,24.00,8.00,11.00,0.00,0.20,76.00
-12.8097222222222,-39.5027777777778,2.00,1.60,9.50,1.10,20.50,3.60,6.00,0.00,0.00,0.50
-12.7916666666667,-39.0916666666667,4.20,6.10,22.70,8.00,29.50,22.40,9.00,0.00,27.20,129.00
-12.7827777777778,-39.2138888888889,2.60,1.20,70.50,1.30,34.50,20.20,70.00,0.00,50.40,250.70
-12.975,-39.2541666666667,1.20,1.08,7.50,1.60,15.40,4.10,34.80,0.00,3.90,34.80
-13.1541666666667,-40.7583333333333,2.40,1.20,3.50,0.90,4.30,0.50,19.00,0.00,0.70,26.80
-12.5313888888889,-39.5113888888889,9.80,7.80,94.50,113.40,169.00,15.10,30.00,0.00,9.60,349.20
-12.3511111111111,-39.2372222222222,5.50,6.50,100.00,10.50,99.10,3.80,11.00,0.00,146.00,382.40
-12.4683333333333,-39.5569444444444,29.60,39.60,292.00,24.50,459.00,16.30,308.00,0.00,0.50,1169.50
-12.1711111111111,-40.2647222222222,3.35,3.95,46.50,5.75,2.10,3.50,65.00,0.00,0.90,18.86
-12.8286111111111,-39.5472222222222,1.65,2.06,16.50,1.82,28.00,0.20,19.00,0.00,0.00,0.20
-12.6844444444444,-41.8127777777778,9.00,3.70,6.00,2.15,22.10,0.60,24.40,0.00,0.00,0.20
-12.9727777777778,-40.9488888888889,6.15,2.20,2.50,0.80,6.00,0.20,31.00,0.00,0.10,0.00
-12.3602777777778,-41.5113888888889,24.10,9.60,6.50,1.30,19.40,4.20,98.00,0.00,0.50,0.00
-12.8377777777778,-41.7766666666667,2.00,0.80,4.95,0.50,7.00,0.20,11.00,0.00,0.30,0.00
