"Latitude","Longitude","CA","MG","Na","K","Cl","So4","HCo3","Co3","No3","RS"
"-12,8558333333333","-40,3833333333333",8.15,3.28,2.6,0.67,5.4,0.8,36,0,0.6,0
"-12,7472222222222","-40,2008333333333",6.55,2.78,2.51,0.63,5.4,0.6,29,0,0.6,0
"-13,3333333333333","-41,3561111111111",0.6,0.18,3.5,0.2,4.8,0,0.2,1,0,0.4
-13,"-41,4108333333333",0.55,0.25,1.9,0.4,4.4,0.2,3,0,0.3,0
"-12,9472222222222","-41,0944444444444",91,11,2.8,1.1,4.3,5.7,318,0,0.1,434
"-13,1541666666667","-40,7583333333333",2.4,1.2,3.5,0.9,4.3,0.5,19,0,0.7,26.8
"-13,3241666666667","-40,6575",2.4,1.2,3.5,0.9,4.3,0.5,14,0,0.7,27.5
"-13,1672222222222","-40,7661111111111",4,1.45,2.4,0.8,4,1.2,17.08,0,3.5,34
"-12,4477777777778","-41,5816666666667",2.4,2.91,2,0.6,4,1,7.32,0,0,20
"-12,9966666666667","-41,8080555555556",1.6,2.43,1.5,0.4,4,1,14.64,0,0,51
"-12,9369444444444","-41,0641666666667",9.6,2.43,1.4,0.4,4,0.2,36.6,0,0,65
"-12,2069444444444","-41,1369444444444",0.17,0.25,2.6,0.2,4,0.5,1,0,0,0.5
"-12,5536111111111","-41,3802777777778",1.6,1.94,1,0,4,0.1,9.76,0,0,26
"-12,7472222222222","-40,2008333333333",3.6,0.97,2.3,0.4,3.6,3.8,6,0,0,0.5
"-12,3016666666667","-41,775",2.4,0.97,2.5,0.8,3.5,0,12.2,0,1.5,58
"-13,4341666666667","-41,1105555555556",17.6,8.74,0.6,1.2,3,1,87.84,0,1.5,95
"-13,1275","-41,1094444444444",5.6,0.48,1.8,0.6,3,0.9,17.08,0,1.5,25
"-13,5805555555556","-41,3608333333333",1.6,1,1.4,0.6,3,1.5,9.8,0,1,20
"-12,7730555555556","-41,5338888888889",0.8,1,1.3,0.6,3,0,4.9,0,0,52
"-12,4297222222222","-41,3563888888889",1.6,0.97,1,0.4,3,0.3,7.32,0,0,14
"-12,4458333333333","-40,6197222222222",3.2,1.5,1.9,0.25,3,0.5,9.8,0,4,52
"-12,9819444444444","-41,0819444444445",0.85,0.4,1.4,0.7,2.9,0,0.2,3,0,0.2
"-12,1261111111111","-40,4655555555556",3.8,3.45,6.35,6.35,2.6,0.2,51,0,0.8,0
"-12,775","-41,4902777777778",0.25,0.17,1.55,0.5,2.6,0.5,3,0,0.3,8.9
"-13,2494444444444","-41,4425",1.6,0.97,1.4,0.4,2.5,0,9.76,0,0,24
"-12,6666666666667","-39,1055555555556",3.6,3.3,14.6,1.3,2.3,4.5,6,0,18.6,0
"-12,1711111111111","-40,2647222222222",3.35,3.95,46.5,5.75,2.1,3.5,65,0,0.9,18.86
"-13,045","-41,0877777777778",1,0.4,1.4,0.5,2.1,10.2,3,0,0.2,0
"-13,135","-41,4986111111111",1.6,1,1.4,0.6,2,0.8,9.8,0,0,33
"-12,8033333333333","-41,3283333333333",0.8,0.97,0.8,0.2,2,0,6.1,0,0,15
"-12,7880555555556","-41,2555555555556",0.17,0.17,1.57,0.16,2,0,0.1,1,0,0.5
"-13,5030555555556","-41,4577777777778",4,0.48,0.2,0.1,2,0.5,12.2,0,0,18
"-12,9758333333333","-41,2744444444444",1.6,0.5,1,0,2,1.5,4.9,0,0,45
"-12,2938888888889","-38,8402777777778",261,311.52,210,30,1,400,211.42,292.8,0,0
"-12,9763888888889","-41,5597222222222",1.6,0.5,1.1,0.4,1,0.5,9.8,0,0,28
"-12,2897222222222","-41,4197222222222",1.6,1.45,3,0.6,0.6,0.7,9.76,0,0,25
